flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_54508_192.168.10.50_21_TCP_2017-07-04 08:37:46.561922,2017-07-04 08:37:46.561922,172.16.0.1,54508,192.168.10.50,21,TCP,3.981590270996094e-05,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,52,32,20,26.0,6.0,32,32,32,32.0,0.0,20,20,20,20.0,0.0,0.0,0.0,0.0,229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50231.18562874252,25115.59281437126,25115.59281437126,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.982e-05,0.0,3.981590270996094e-05,3.981590270996094e-05,3.981590270996094e-05,1499171866.561922,0.0,1499171866.561922,1499171866.561922,1499171866.561922,1499171866.561962,0.0,1499171866.561962,1499171866.561962,1499171866.561962,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1_56420_192.168.10.50_21_TCP_2017-07-04 08:52:04.823707,2017-07-04 08:52:04.823707,172.16.0.1,56420,192.168.10.50,21,TCP,9.238150835037231,26,10,16,313,125,188,34,0,12.03846154,12.31159794,151.57544379,34,0,12.03846154,12.31159794,82.65,34,0,12.03846154,12.31159794,194.4375,836,40,20,32.15384615,3.23076923,328,40,32,32.8,2.4,508,40,20,31.75,3.59687364,12.5,11.75,12.038461538461538,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.88123939402409,13.530846403364254,20.35039299065984,2.814416051899765,1.7319483396306246,1.0824677122691404,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,2,24,0,1,0,7,0,0,1,9,0,0,1,7,0,0,1,15,0,1,0.36952603,0.9837326,3.135164976119995,2.86102294921875e-06,9.238150835037231,1.02645199,1.44970085,3.1769630908966064,2.86102294921875e-06,9.238067865371704,0.61586833,1.20879389,3.135164976119995,2.86102294921875e-06,9.238024950027466,3.333333333333333,5.333333333333333,41.66666666666666,41.66666666666666,FTP-Patator
172.16.0.1_56140_192.168.10.50_21_TCP_2017-07-04 08:50:06.082223,2017-07-04 08:50:06.082223,172.16.0.1,56140,192.168.10.50,21,TCP,4.8160552978515625e-05,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,52,32,20,26.0,6.0,32,32,32,32.0,0.0,20,20,20,20.0,0.0,0.0,0.0,0.0,229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41527.76237623762,20763.88118811881,20763.88118811881,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.816e-05,0.0,4.8160552978515625e-05,4.8160552978515625e-05,4.8160552978515625e-05,1499172606.0822227,0.0,1499172606.082223,1499172606.082223,1499172606.082223,1499172606.082271,0.0,1499172606.082271,1499172606.082271,1499172606.082271,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1_54996_192.168.10.50_21_TCP_2017-07-04 08:41:20.733367,2017-07-04 08:41:20.733367,172.16.0.1,54996,192.168.10.50,21,TCP,4.601478576660156e-05,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,52,32,20,26.0,6.0,32,32,32,32.0,0.0,20,20,20,20.0,0.0,0.0,0.0,0.0,229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43464.290155440416,21732.145077720208,21732.145077720208,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.601e-05,0.0,4.601478576660156e-05,4.601478576660156e-05,4.601478576660156e-05,1499172080.7333667,0.0,1499172080.733367,1499172080.733367,1499172080.733367,1499172080.7334127,0.0,1499172080.733413,1499172080.733413,1499172080.733413,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1_54984_192.168.10.50_21_TCP_2017-07-04 08:41:17.625894,2017-07-04 08:41:17.625894,172.16.0.1,54984,192.168.10.50,21,TCP,4.792213439941406e-05,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,52,32,20,26.0,6.0,32,32,32,32.0,0.0,20,20,20,20.0,0.0,0.0,0.0,0.0,229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41734.36815920398,20867.18407960199,20867.18407960199,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4.792e-05,0.0,4.792213439941406e-05,4.792213439941406e-05,4.792213439941406e-05,1499172077.625894,0.0,1499172077.625894,1499172077.625894,1499172077.625894,1499172077.625942,0.0,1499172077.625942,1499172077.625942,1499172077.625942,0.0,0.0,0.0,0.0,FTP-Patator
192.168.10.50_21_172.16.0.1_57170_TCP_2017-07-04 08:57:53.578212,2017-07-04 08:57:53.578212,192.168.10.50,21,172.16.0.1,57170,TCP,0.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,20,20,20.0,0.0,0,0,0,0.0,0.0,20,20,20,20.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1499173073.578212,0.0,1499173073.578212,1499173073.578212,1499173073.578212,0.0,0.0,0.0,0.0,0.0,1499173073.578212,0.0,1499173073.578212,1499173073.578212,1499173073.578212,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1_59518_192.168.10.50_21_TCP_2017-07-04 09:15:34.367621,2017-07-04 09:15:34.367621,172.16.0.1,59518,192.168.10.50,21,TCP,8.951281070709229,26,10,16,306,118,188,34,0,11.76923077,12.06491319,145.56213018,34,0,11.76923077,12.06491319,67.36,34,0,11.76923077,12.06491319,194.4375,836,40,20,32.15384615,3.23076923,328,40,32,32.8,2.4,508,40,20,31.75,3.59687364,11.8,11.75,11.76923076923077,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.185051009213254,13.182470650611648,21.002580358601605,2.904612177253413,1.7874536475405622,1.1171585297128517,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,2,24,0,1,0,7,0,0,1,9,0,0,1,7,0,0,1,15,0,1,0.35805124,0.95729847,3.2968921661376958,2.1219253540039062e-05,8.951281070709229,0.99457378,1.41433648,3.342694997787476,0.0002408027648925,8.95116400718689,0.59674293,1.17683621,3.2968921661376958,4.792213439941406e-05,8.951143980026245,3.333333333333333,5.333333333333333,39.333333333333336,39.333333333333336,FTP-Patator
172.16.0.1_53470_192.168.10.50_21_TCP_2017-07-04 08:29:37.439740,2017-07-04 08:29:37.439740,172.16.0.1,53470,192.168.10.50,21,TCP,9.42428207397461,26,11,15,318,130,188,34,0,12.23076923,12.50940475,156.4852071,34,0,12.23076923,12.50940475,100.14876033,34,0,12.23076923,12.50940475,197.58222222,848,40,32,32.61538462,2.13175484,360,40,32,32.72727273,2.2998383,488,40,32,32.53333333,1.99555061,11.818181818181818,12.533333333333331,12.23076923076923,29200,28960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.74262331113422,13.794154183797009,19.94846912733721,2.758830836759401,1.5916331750535009,1.1671976617059006,1.3636363636363635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,2,25,0,0,1,7,0,0,1,10,0,0,1,7,0,0,1,15,0,0,0.37697128,1.00440814,3.204559087753296,9.5367431640625e-07,9.42428207397461,0.94242821,1.43922233,3.2473678588867188,2.86102294921875e-06,9.42428207397461,0.67310565,1.26577898,3.204559087753296,9.5367431640625e-07,9.423479080200195,3.6666666666666665,5.0,43.333333333333336,43.333333333333336,FTP-Patator
192.168.10.50_21_172.16.0.1_57466_TCP_2017-07-04 09:00:08.940207,2017-07-04 09:00:08.940207,192.168.10.50,21,172.16.0.1,57466,TCP,0.0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,20,20,20.0,0.0,0,0,0,0.0,0.0,20,20,20,20.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1499173208.940207,0.0,1499173208.940207,1499173208.940207,1499173208.940207,0.0,0.0,0.0,0.0,0.0,1499173208.940207,0.0,1499173208.940207,1499173208.940207,1499173208.940207,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1_56808_192.168.10.50_21_TCP_2017-07-04 08:55:03.588360,2017-07-04 08:55:03.588360,172.16.0.1,56808,192.168.10.50,21,TCP,9.083747863769533e-05,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,52,32,20,26.0,6.0,32,32,32,32.0,0.0,20,20,20,20.0,0.0,0.0,0.0,0.0,229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22017.343832021,11008.6719160105,11008.6719160105,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.084e-05,0.0,9.083747863769533e-05,9.083747863769533e-05,9.083747863769533e-05,1499172903.58836,0.0,1499172903.58836,1499172903.58836,1499172903.58836,1499172903.588451,0.0,1499172903.588451,1499172903.588451,1499172903.588451,0.0,0.0,0.0,0.0,FTP-Patator
